Symbol,Name,Sector,Industry,Index,Secode,Indcode
ARE.TO,Aecon Group Inc.,Industrials,Engineering & Construction,TSXCI,ind,econ
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,Gold,TSXCI,bm,gol
AC.TO,Air Canada,Industrials,Airlines,TSXCI,ind,air
ASR.TO,Alacer Gold Corp.,Basic Materials,Gold,TSXCI,bm,gol
AGI.TO,Alamos Gold Inc.,Basic Materials,Gold,TSXCI,bm,gol
AD.TO,Alaris Royalty Corp.,Financial Services,Credit Services,TSXCI,fs,cse
AQN.TO,Algonquin Power & Utilities Corp.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
ATD-B.TO,Alimentation Couche-Tard Inc.,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,REIT - Office,TSXCI,re,ro
ALA.TO,AltaGas Ltd.,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
AIF.TO,Altus Group Limited,Real Estate,Real Estate Services,TSXCI,re,res
APHA.TO,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
ARX.TO,ARC Resources Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
AX-UN.TO,Artis Real Estate Investment Trust,Real Estate,REIT - Diversified,TSXCI,re,rd
ACO-X.TO,ATCO Ltd.,Utilities,Utilities - Diversified,TSXCI,uti,ud
ATA.TO,ATS Automation Tooling Systems Inc.,Industrials,Diversified Industrials,TSXCI,ind,di
ACB.TO,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
BTO.TO,B2Gold Corp.,Basic Materials,Gold,TSXCI,bm,gol
BAD.TO,Badger Daylighting Ltd.,Industrials,Engineering & Construction,TSXCI,ind,econ
BMO.TO,Bank of Montreal,Financial Services,Banks - Global,TSXCI,fs,bg
BNS.TO,Bank of Nova Scotia,Financial Services,Banks - Global,TSXCI,fs,bg
ABX.TO,Barrick Gold Corporation,Basic Materials,Gold,TSXCI,bm,gol
BHC.TO,Bausch Health Companies Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
BTE.TO,Baytex Energy Corp.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
BCE.TO,BCE Inc.,Communication Services,Telecom Services,TSXCI,cs,ts
BIR.TO,Birchcliff Energy Ltd.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
BB.TO,BlackBerry Limited,Technology,Communication Equipment,TSXCI,tec,ceq
BEI-UN.TO,Boardwalk Real Estate Investment Trust,Real Estate,REIT - Residential,TSXCI,re,rres
BBD-B.TO,Bombardier Inc.,Industrials,Aerospace & Defense,TSXCI,ind,ad
BLX.TO,Boralex Inc.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
BYD-UN.TO,Boyd Group Income Fund,Consumer Cyclical,Personal Services,TSXCI,cc,ps
BAM-A.TO,Brookfield Asset Management Inc.,Financial Services,Asset Management,TSXCI,fs,amana
BBU-UN.TO,Brookfield Business Partners L.P.,Industrials,Conglomerates,TSXCI,ind,cong
BIP-UN.TO,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified,TSXCI,uti,ud
BPY-UN.TO,Brookfield Property Partners L.P.,Real Estate,Real Estate Services,TSXCI,re,res
BEP-UN.TO,Brookfield Renewable Partners L.P.,Utilities,Utilities - Independent Power Producers,TSXCI,uti,uipp
DOO.TO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,TSXCI,cc,rv
CAE.TO,CAE Inc.,Industrials,Aerospace & Defense,TSXCI,ind,ad
CCO.TO,Cameco Corporation,Basic Materials,Industrial Metals & Minerals,TSXCI,bm,imm
GOOS.TO,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel Manufacturing,TSXCI,cc,amang
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REIT - Residential,TSXCI,re,rres
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,Banks - Global,TSXCI,fs,bg
CNR.TO,Canadian National Railway Company,Industrials,Railroads,TSXCI,ind,rai
CNQ.TO,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,TSXCI,ene,ogep
CP.TO,Canadian Pacific Railway Limited,Industrials,Railroads,TSXCI,ind,rai
CTC-A.TO,Canadian Tire Corporation Limited,Consumer Cyclical,Specialty Retail,TSXCI,cc,sr
CU.TO,Canadian Utilities Limited,Utilities,Utilities - Diversified,TSXCI,uti,ud
CWB.TO,Canadian Western Bank,Financial Services,Banks - Regional - Canada,TSXCI,fs,brc
CFP.TO,Canfor Corporation,Basic Materials,Lumber & Wood Production,TSXCI,bm,lwp
WEED.TO,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,TSXCI,hea,dmsg
CPX.TO,Capital Power Corporation,Utilities,Utilities - Regulated Electric,TSXCI,uti,ure
CAS.TO,Cascades Inc.,Basic Materials,Paper & Paper Products,TSXCI,bm,ppp
CCL-B.TO,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers,TSXCI,cc,pc
CLS.TO,Celestica Inc.,Technology,Contract Manufacturers,TSXCI,tec,cman
CVE.TO,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,TSXCI,ene,ogi
CG.TO,Centerra Gold Inc.,Basic Materials,Gold,TSXCI,bm,gol
CEU.TO,CES Energy Solutions Corp.,Energy,Oil & Gas Drilling,TSXCI,ene,ogd
GIB-A.TO,CGI Group Inc.,Technology,Information Technology Services,TSXCI,tec,its
CSH-UN.TO,Chartwell Retirement Residences,Real Estate,REIT - Healthcare Facilities,TSXCI,re,rhf
CHE-UN.TO,Chemtrade Logistics Income Fund,Basic Materials,Specialty Chemicals,TSXCI,bm,sc
CHP-UN.TO,Choice Properties Real Estate Investment Trust,Real Estate,REIT - Retail,TSXCI,re,rret
CHR.TO,Chorus Aviation Inc.,Industrials,Airlines,TSXCI,ind,air
CIX.TO,CI Financial Corp.,Financial Services,Asset Management,TSXCI,fs,amana
CGX.TO,Cineplex Inc.,Consumer Cyclical,Media - Diversified,TSXCI,cc,mdiv
CCA.TO,Cogeco Communications Inc.,Communication Services,Telecom Services,TSXCI,cs,ts
CIGI.TO,Colliers International Group Inc.,Real Estate,Real Estate Services,TSXCI,re,res
CUF-UN.TO,Cominar Real Estate Investment Trust,Real Estate,REIT - Diversified,TSXCI,re,rd
CMG.TO,Computer Modelling Group Ltd.,Technology,Software - Application,TSXCI,tec,sa
CSU.TO,Constellation Software Inc.,Technology,Software - Application,TSXCI,tec,sa
BCB.TO,Cott Corporation,Consumer Defensive,Beverages - Soft Drinks,TSXCI,cd,bsd
CPG.TO,Crescent Point Energy Corp.,Energy,Oil & Gas E&P,TSXCI,ene,ogep
CRR-UN.TO,Crombie Real Estate Investment Trust,Real Estate,REIT - Diversified,TSXCI,re,rd
DSG.TO,Descartes Systems Group Inc.,Technology,Software - Application,TSXCI,tec,sa
DGC.TO,Detour Gold Corporation,Basic Materials,Gold,TSXCI,bm,gol
DOL.TO,Dollarama Inc.,Consumer Defensive,Discount Stores,TSXCI,cd,dis
DII-B.TO,Dorel Industries Inc.,Consumer Cyclical,Home Furnishings & Fixtures,TSXCI,cc,hff
DRG-UN.TO,Dream Global Real Estate Investment Trust,Real Estate,REIT - Office,TSXCI,re,ro
D-UN.TO,Dream Office Real Estate Investment Trust,Real Estate,REIT - Office,TSXCI,re,ro
ECN.TO,ECN Capital Corp.,Financial Services,Credit Services,TSXCI,fs,cse
ELD.TO,Eldorado Gold Corporation,Basic Materials,Gold,TSXCI,bm,gol
EFN.TO,Element Fleet Management Corp.,Financial Services,Credit Services,TSXCI,fs,cse
EMA.TO,Emera Incorporated,Utilities,Utilities - Diversified,TSXCI,uti,ud
EMP-A.TO,Empire Company Limited,Consumer Defensive,Grocery Stores,TSXCI,cd,gs
ENB.TO,Enbridge Inc.,Energy,Oil & Gas Midstream,TSXCI,ene,ogm
ECA.TO,Encana Corporation,Energy,Oil & Gas E&P,TSXCI,ene,ogep
EDV.TO,Endeavour Mining Corporation,Basic Materials,Gold,TSXCI,bm,gol
